####
# Name: CRT Royale (Port) Fixed
# crt-royale (TroggleMonkey); libretro/slang-shaders @ 3b0d6aa1d134
# Fitted in encoded space with MiSTer's exact saturating mask arithmetic
# Dedicated pixel-local mask for the non-adaptive rank-1 pipeline
# Selected by whole-pipeline self-gate: mask-aware fixed pair
####
v2
6,12
485,28b,184,484,28b,184
474,27a,175,474,27b,175
495,29b,194,495,29b,194
474,27a,174,474,27a,175
495,29b,194,494,29b,194
484,28b,185,474,28b,185
474,28b,174,484,28b,174
495,29b,194,495,29b,194
475,27a,175,474,27a,175
495,29b,195,495,29b,194
474,27a,175,474,27b,175
484,28b,184,484,28b,184
