####
# Name: CRT Royale (Port) No Gamma
# crt-royale (TroggleMonkey); libretro/slang-shaders @ 3b0d6aa1d134
# Fitted in encoded space with MiSTer's exact saturating mask arithmetic
# Dedicated pixel-local mask for gamma=off / identity LUT
# Selected by whole-pipeline self-gate: identity-LUT V/mask co-fit
####
v2
6,12
485,28b,184,484,28b,184
474,27a,175,474,27a,175
495,29b,194,495,29b,194
474,27a,174,474,27a,174
495,29b,194,494,29b,194
474,28b,174,474,28b,185
474,28b,174,474,28b,174
495,29b,194,495,29b,194
474,27a,174,474,27a,174
495,29b,195,495,29b,194
474,27a,175,474,27a,175
484,28b,184,484,28b,184
